1,이진길,1,1,1
2,이명수,1,1,2
3,박현재,1,1,3
4,이동현,1,1,4
5,정동명,1,1,5
6,박명수,1,1,6
7,김석길,1,1,7
8,최현동,1,1,8
9,박진석,1,1,9
10,최동진,1,1,10
11,박석명,1,2,1
12,이길명,1,2,2
13,김진길,1,2,3
14,이현진,1,2,4
15,박수수,1,2,5
16,이석현,1,2,6
17,최석길,1,2,7
18,박길명,1,2,8
19,박길수,1,2,9
20,김진진,1,2,10
21,김재재,1,3,1
22,이수현,1,3,2
23,최명진,1,3,3
24,최진길,1,3,4
25,최수재,1,3,5
26,정현재,1,3,6
27,정동수,1,3,7
28,정석현,1,3,8
29,박수현,1,3,9
30,박동수,1,3,10
31,박길동,1,4,1
32,이현수,1,4,2
33,김진재,1,4,3
34,박길동,1,4,4
35,최길수,1,4,5
36,이석진,1,4,6
37,최석길,1,4,7
38,최수진,1,4,8
39,박재동,1,4,9
40,박수동,1,4,10
41,최동동,1,5,1
42,김명명,1,5,2
43,김석길,1,5,3
44,박진길,1,5,4
45,정석동,1,5,5
46,김재동,1,5,6
47,김재진,1,5,7
48,이동진,1,5,8
49,박석동,1,5,9
50,박명수,1,5,10
51,정현진,2,1,1
52,이재수,2,1,2
53,정진길,2,1,3
54,이석수,2,1,4
55,김재재,2,1,5
56,정진동,2,1,6
57,이진길,2,1,7
58,최명길,2,1,8
59,박길현,2,1,9
60,정재동,2,1,10
61,김현재,2,2,1
62,최수수,2,2,2
63,김길현,2,2,3
64,정진재,2,2,4
65,박재현,2,2,5
66,정수현,2,2,6
67,정현길,2,2,7
68,박동재,2,2,8
69,최동길,2,2,9
70,최길재,2,2,10
71,이진석,2,3,1
72,정명수,2,3,2
73,김석재,2,3,3
74,김석수,2,3,4
75,박길현,2,3,5
76,이명재,2,3,6
77,정재길,2,3,7
78,김수재,2,3,8
79,최동수,2,3,9
80,김재석,2,3,10
81,최명진,2,4,1
82,정수진,2,4,2
83,이재동,2,4,3
84,박석동,2,4,4
85,최석동,2,4,5
86,최길진,2,4,6
87,최재재,2,4,7
88,정현재,2,4,8
89,박수재,2,4,9
90,김현진,2,4,10
91,최현재,2,5,1
92,최석재,2,5,2
93,최동명,2,5,3
94,박동수,2,5,4
95,박수길,2,5,5
96,최재현,2,5,6
97,최수길,2,5,7
98,정수길,2,5,8
99,박재명,2,5,9
100,정수동,2,5,10
101,이재길,3,1,1
102,김길현,3,1,2
103,김명동,3,1,3
104,정재현,3,1,4
105,정길석,3,1,5
106,최진재,3,1,6
107,김진길,3,1,7
108,이길진,3,1,8
109,정석수,3,1,9
110,김동재,3,1,10
111,박현현,3,2,1
112,김석현,3,2,2
113,최진석,3,2,3
114,이명석,3,2,4
115,이재명,3,2,5
116,김길수,3,2,6
117,김수수,3,2,7
118,김재진,3,2,8
119,최명수,3,2,9
120,최수동,3,2,10
121,김명동,3,3,1
122,박재석,3,3,2
123,정동진,3,3,3
124,정동석,3,3,4
125,정진길,3,3,5
126,박현재,3,3,6
127,김수진,3,3,7
128,박수동,3,3,8
129,김재진,3,3,9
130,최진수,3,3,10
131,이명석,3,4,1
132,박동길,3,4,2
133,이명명,3,4,3
134,박현명,3,4,4
135,최명석,3,4,5
136,박석길,3,4,6
137,이현재,3,4,7
138,최현수,3,4,8
139,이현동,3,4,9
140,최재길,3,4,10
141,최동석,3,5,1
142,최진재,3,5,2
143,박명명,3,5,3
144,최재동,3,5,4
145,정현현,3,5,5
146,이석석,3,5,6
147,정석명,3,5,7
148,박석현,3,5,8
149,최수명,3,5,9
150,김진명,3,5,10
